order_id,order_datetime,customer_id,channel,payment_method,status
O500167,2024-08-06 11:00:00,C10403,Mobile App,Debit Card,Completed
O500168,2024-10-02 14:00:00,C10102,Instagram,Debit Card,Completed
O500169,2025-01-28 01:00:00,C10535,Mobile App,Credit Card,Completed
O500170,2024-12-28 19:00:00,C10367,Mobile App,Credit Card,Refunded
O500171,2024-08-05 15:00:00,C10211,Instagram,Credit Card,Completed
O500172,2024-12-23 16:00:00,C10576,instagram,Debit Card,Completed
O500173,2024-01-27 06:00:00,C10208,Web,Cash,Completed
O500174,2025-05-11 04:00:00,C10762,Web,MercadoPago,Completed
O500175,2025-02-22 07:00:00,C10896,Web,Credit Card,Completed
O500176,2025-03-27 23:00:00,C10116,Web,Credit Card,Completed
O500177,2025-01-17 03:00:00,C10627,Web,MercadoPago,Completed
O500178,2025-06-14 01:00:00,C10748,Web,Debit Card,Completed
O500179,2025-04-28 02:00:00,C10477,Instagram,Debit Card,Completed
O500180,2025-05-17 15:00:00,C10104,Web,MercadoPago,Completed
O500181,2024-10-05 11:00:00,C10494,Mobile App,Credit Card ,Completed
O500182,2024-01-12 13:00:00,C10770,Web,Debit Card,Completed
O500183,2024-01-10 16:00:00,C10045,Web,Cash,Completed
O500184,2025-02-10 00:00:00,C10822,Web,Transfer,Completed
O500185,2024-08-25 02:00:00,C10330,Web,Credit Card,Completed
O500186,2025-07-12 09:00:00,C10215,Marketplace,Credit Card,Completed
O500187,2024-11-15 03:00:00,C10491,Instagram,Credit Card,Completed
O500188,2025-04-22 14:00:00,C10812,Web,MercadoPago,Completed
O500189,2025-03-17 17:00:00,C10844,Mobile App,Credit Card,Completed
O500190,2025-05-02 16:00:00,C10448,Mobile App,Credit Card,Completed
O500191,2024-01-02 01:00:00,C10535,Instagram,MercadoPago,Completed
O500192,2025-07-25 01:00:00,C10510,Marketplace,Credit Card,Completed
O500193,2024-11-07 04:00:00,C10457,Mobile App,Credit Card,Completed
O500194,2024-09-24 02:00:00,C10546,mobile app,Credit Card,Completed
O500195,2024-12-26 12:00:00,C10535,marketplace,Credit Card,Completed
O500196,2024-06-05 20:00:00,C10539,Web,Credit Card,Completed
O500197,2024-10-01 23:00:00,C10483,Web,MercadoPago,Completed
O500198,2025-04-29 07:00:00,C10015,Instagram,MercadoPago,Completed
O500199,2025-07-11 11:00:00,C10570,Marketplace,Debit Card,Completed
O500200,2024-07-31 14:00:00,C10242,Mobile App,Credit Card,Cancelled
O500201,2024-10-18 22:00:00,C10206,Mobile App,Debit Card,Completed
O500202,2024-05-25 03:00:00,C10270,Web,Credit Card,Completed
O500203,2024-03-24 02:00:00,C10760,Mobile App,Credit Card,Completed
O500204,2024-12-27 18:00:00,C10778,Mobile App,MercadoPago,Completed
O500205,2024-02-14 16:00:00,C10704,Web,Credit Card,Completed
O500206,2024-10-06 11:00:00,C10846,Marketplace,Credit Card,Completed
O500207,2025-04-18 13:00:00,C10729,Instagram,Debit Card,Completed
O500208,2024-01-09 23:00:00,C10114,Web,Debit Card,Completed
O500209,2024-11-12 21:00:00,C10579,Mobile App,Credit Card,Completed
O500210,2025-02-17 03:00:00,C10298,Web,Credit Card ,Completed
O500211,2025-02-11 16:00:00,C10836,Mobile App,Credit Card,Completed
O500212,2024-04-18 14:00:00,C10482,Web,Transfer,Completed
O500213,2024-12-13 22:00:00,C10396,mobile app,Credit Card,Cancelled
O500214,2024-07-18 05:00:00,C10393,Instagram,Credit Card,Completed
O500215,2024-05-18 01:00:00,C10074,Web,Debit Card,Cancelled
O500216,2025-04-04 17:00:00,C10481,Instagram,MercadoPago,Completed
O500217,2025-02-19 08:00:00,C10102,WhatsApp,Credit Card,Completed
O500218,2025-03-02 20:00:00,C10296,Web,Credit Card ,Completed
O500219,2024-11-19 11:00:00,C10177,Web,Debit Card,Completed
O500220,2024-09-04 11:00:00,C10214,WhatsApp,Transfer,Completed
O500221,2024-04-05 15:00:00,C10314,WhatsApp,Credit Card,Completed
O500222,2024-08-24 21:00:00,C10038,Web,Credit Card,Cancelled
O500223,2024-03-11 16:00:00,C10258,Web,Credit Card,Completed
O500224,2025-04-11 01:00:00,C10715,Web,Credit Card,Completed
O500225,2025-03-20 05:00:00,C10006,WhatsApp,Debit Card,Completed
O500226,2024-03-22 02:00:00,C10048,Web,Credit Card,Completed
O500227,2025-05-15 01:00:00,C10537,Mobile App,MercadoPago,Completed
O500228,2024-04-25 23:00:00,C10160,Marketplace,Debit Card,Completed
O500229,2024-05-31 20:00:00,C10868,Web,Debit Card,Pending
O500230,2024-08-06 09:00:00,C10175,Mobile App,Credit Card,Completed
O500231,2024-09-24 12:00:00,C10590,Web,Debit Card,Completed
O500232,2025-03-21 12:00:00,C10001,Instagram,Credit Card,Completed
O500233,2024-11-10 21:00:00,C10894,Web,MercadoPago,Pending
O500234,2025-05-08 05:00:00,C10454,Mobile App,Cash,Completed
O500235,2024-04-20 05:00:00,C10643,Mobile App,Credit Card,Cancelled
O500236,2024-10-01 13:00:00,C10275,Web,Credit Card,Completed
O500237,2024-09-21 17:00:00,C10497,Web,Credit Card,Completed
O500238,2025-03-15 05:00:00,C10628,Web,Transfer,Completed
O500239,2024-03-21 12:00:00,C10675,Web,Transfer,Completed
O500240,2025-04-23 14:00:00,C10799,Marketplace,MercadoPago,Completed
O500241,2024-03-14 05:00:00,C10027,Marketplace,MercadoPago,Completed
O500242,2024-07-30 21:00:00,C10332,Mobile App,Credit Card,Completed
O500243,2024-08-22 21:00:00,C10000,Mobile App,Debit Card,Completed
O500244,2024-02-16 12:00:00,C10187,Mobile App,Transfer,Completed
O500245,2025-03-24 07:00:00,C10055,Marketplace,Debit Card,Completed
O500246,2025-05-02 03:00:00,C10546,Web,Debit Card,Completed
O500247,2024-01-21 12:00:00,C10111,Web,Debit Card,Completed
O500248,2025-04-24 02:00:00,C10797,Web,Debit Card,Completed
O500249,2025-01-02 03:00:00,C10309,Mobile App,Debit Card,Completed
O500250,2025-04-21 00:00:00,C10035,Web,Debit Card,Completed
O500251,2024-11-24 16:00:00,C10438,Web,Transfer,Completed
O500252,2025-05-15 15:00:00,C10728,Web,Debit Card,Completed
O500253,2024-09-26 18:00:00,C10591,Marketplace,Debit Card,Completed
O500254,2025-03-16 12:00:00,C10825,Web,Transfer,Completed
O500255,2025-02-09 18:00:00,C10594,Web,Credit Card,Completed
O500256,2024-07-25 14:00:00,C10576,Web,Credit Card,Completed
O500257,2025-05-04 19:00:00,C10324,Web,Credit Card,Pending
O500258,2025-02-12 05:00:00,C10639,Mobile App,Debit Card,Completed
O500259,2025-05-12 16:00:00,C10306,Web,Debit Card,Completed
O500260,2025-06-20 03:00:00,C10533,Web,Cash,Completed
O500261,2025-02-24 02:00:00,C10727,Mobile App,Credit Card,Completed
O500262,2025-01-29 11:00:00,C10618,Web,Credit Card,Completed
O500263,2024-04-24 07:00:00,C10108,Web,Credit Card,Completed
O500264,2024-11-23 18:00:00,C10371,Instagram,Credit Card,Pending
O500265,2025-03-21 05:00:00,C10356,Web,MercadoPago,Completed
O500266,2024-10-25 08:00:00,C10180,Web,Credit Card,Cancelled
O500267,2024-08-15 03:00:00,C10355,Web,Debit Card,Completed
O500268,2024-08-07 02:00:00,C10675,Mobile App,Transfer,Completed
O500269,2024-12-22 04:00:00,C10067,Mobile App,Debit Card,Completed
O500270,2024-10-26 10:00:00,C10291,Mobile App,MercadoPago,Completed
O500271,2024-09-11 06:00:00,C10691,Marketplace,Credit Card,Completed
O500272,2025-01-12 13:00:00,C10180,Web,Credit Card,Pending
O500273,2025-01-13 05:00:00,C10465,Web,MercadoPago,Pending
O500274,2025-02-28 17:00:00,C10433,Marketplace,MercadoPago,Pending
O500275,2025-07-24 21:00:00,C10463,instagram,Credit Card,Completed
O500276,2025-01-29 19:00:00,C10680,Web,Credit Card,Pending
O500277,2024-01-26 19:00:00,C10533,Mobile App,Credit Card,Completed
O500278,2024-02-06 18:00:00,C10065,Web,Credit Card,Completed
O500279,2025-01-09 12:00:00,C10020,Web,Cash,Completed
O500280,2024-05-31 18:00:00,C10611,Web,Debit Card,Completed
O500281,2025-04-29 01:00:00,C10383,Web,Credit Card,Pending
O500282,2024-02-24 00:00:00,C10811,Marketplace,MercadoPago,Cancelled
O500283,2025-06-21 18:00:00,C10614,Mobile App,Debit Card,Completed
O500284,2024-12-17 12:00:00,C10558,Web,Credit Card,Completed
O500285,2024-04-30 15:00:00,C10038,Web,MercadoPago,Completed
O500286,2024-10-01 17:00:00,C10284,Marketplace,MercadoPago,Completed
O500287,2024-02-08 17:00:00,C10821,Web,MercadoPago,Completed
O500288,2024-08-11 14:00:00,C10601,Mobile App,Debit Card,Completed
O500289,2024-12-28 23:00:00,C10596,Web,MercadoPago,Completed
O500290,2024-05-13 20:00:00,C10784,Mobile App,Credit Card,Completed
O500291,2024-04-10 09:00:00,C10335,Web,Debit Card,Completed
O500292,2024-12-07 15:00:00,C10187,Web,Cash,Completed
O500293,2025-03-22 13:00:00,C10670,Web,Credit Card,Completed
O500294,2024-05-22 15:00:00,C10242,Web,MercadoPago,Completed
O500295,2025-03-01 11:00:00,C10072,Web,Debit Card,Completed
O500296,2025-06-16 14:00:00,C10478,Mobile App,Credit Card,Completed
O500297,2024-10-17 16:00:00,C10560,Web,MercadoPago,Completed
O500298,2024-11-12 10:00:00,C10100,Web,Credit Card,Completed
O500299,2024-08-02 22:00:00,C10513,Mobile App,Debit Card,Completed
O500300,2025-06-03 18:00:00,C10755,Mobile App,Credit Card,Completed
O500301,2024-06-01 19:00:00,C10175,WhatsApp,MercadoPago,Refunded
O500302,2025-05-09 07:00:00,C10237,Mobile App,Credit Card,Completed
O500303,2025-04-03 01:00:00,C10058,Mobile App,Credit Card,Completed
O500304,2024-09-05 21:00:00,C10864,Mobile App,Credit Card ,Completed
O500305,2024-09-16 20:00:00,C10098,Instagram,MercadoPago,Completed
O500306,2024-12-10 21:00:00,C10870,Marketplace,Transfer,Completed
O500307,2025-04-16 03:00:00,C10494,Web,Transfer,Completed
O500308,2025-06-01 16:00:00,C10513,Web,Debit Card,Completed
O500309,2024-04-12 20:00:00,C10754,Web,Debit Card,Completed
O500310,2024-09-16 01:00:00,C10296,Mobile App,Credit Card,Completed
O500311,2024-05-30 19:00:00,C10210,Marketplace,Debit Card,Completed
O500312,2024-03-09 04:00:00,C10122,Mobile App,Credit Card,Completed
O500313,2024-12-05 19:00:00,C10228,Web,Cash,Pending
O500314,2024-05-29 07:00:00,C10593,Marketplace,MercadoPago,Completed
O500315,2024-06-16 01:00:00,C10655,Marketplace,Credit Card,Completed
O500316,2024-05-18 14:00:00,C10387,Web,Credit Card,Completed
O500317,2025-03-09 18:00:00,C10139,Mobile App,MercadoPago,Pending
O500318,2024-12-05 12:00:00,C10540,web,Credit Card,Completed
O500319,2024-04-02 09:00:00,C10390,Instagram,Credit Card,Completed
O500320,2024-07-25 23:00:00,C10269,Marketplace,Credit Card,Completed
O500321,2024-04-08 17:00:00,C10758,Mobile App,Debit Card,Completed
O500322,2024-05-31 14:00:00,C10011,Mobile App,MercadoPago,Completed
O500323,2025-03-21 15:00:00,C10866,Instagram,Credit Card,Completed
O500324,2025-01-15 15:00:00,C10388,Mobile App,Credit Card,Cancelled
O500325,2024-08-26 10:00:00,C10336,Web,Debit Card,Cancelled
O500326,2025-04-04 13:00:00,C10505,Marketplace,Transfer,Completed
O500327,2025-03-28 04:00:00,C10105,Web,Credit Card,Pending
O500328,2025-04-08 16:00:00,C10031,web,Credit Card,Completed
O500329,2024-07-04 04:00:00,C10073,Instagram,MercadoPago,Completed
O500330,2024-11-13 10:00:00,C10170,Marketplace,Cash,Completed
O500331,2024-06-13 11:00:00,C10848,Web,Cash,Completed
O500332,2024-03-10 20:00:00,C10068,Web,MercadoPago,Completed
O500333,2024-02-19 20:00:00,C10812,Web,Credit Card,Completed
O500334,2025-05-27 09:00:00,C10361,Web,Credit Card,Completed
O500335,2024-04-26 03:00:00,C10648,Web,Credit Card,Completed
O500336,2024-11-05 16:00:00,C10432,Marketplace,Credit Card,Refunded
O500337,2025-02-06 05:00:00,C10099,Web,Cash,Completed
O500338,2024-11-26 07:00:00,C10657,Mobile App,MercadoPago,Cancelled
O500339,2024-05-18 06:00:00,C10008,Web,Transfer,Completed
O500340,2025-01-04 02:00:00,C10573,WhatsApp,Credit Card,Refunded
O500341,2024-10-05 17:00:00,C10696,Web,MercadoPago,Completed
O500342,2025-07-29 10:00:00,C10028,Web,MercadoPago,Completed
O500343,2024-03-31 16:00:00,C10892,Web,Credit Card,Cancelled
O500344,2024-06-04 23:00:00,C10113,Mobile App,MercadoPago,Completed
O500345,2025-01-01 08:00:00,C10461,Mobile App,Credit Card,Completed
O500346,2025-03-27 20:00:00,C10142,Web,Credit Card,Completed
O500347,2024-07-03 06:00:00,C10389,Web,Transfer,Completed
O500348,2024-06-08 08:00:00,C10631,Web,Transfer,Pending
O500349,2025-05-19 02:00:00,C10681,Mobile App,Credit Card,Completed
O500350,2025-01-17 03:00:00,C10156,Mobile App,Credit Card,Refunded
O500351,2024-04-12 03:00:00,C10334,Web,Cash,Completed
O500352,2024-01-27 04:00:00,C10860,Web,Transfer,Completed
O500353,2025-02-13 05:00:00,C10259,Web,Transfer,Completed
O500354,2024-11-20 02:00:00,C10081,Web,Credit Card,Completed
O500355,2024-06-03 00:00:00,C10753,Mobile App,Credit Card,Completed
O500356,2025-04-29 06:00:00,C10440,Web,Credit Card,Completed
O500357,2024-06-02 02:00:00,C10171,Web,Credit Card,Completed
O500358,2024-06-12 17:00:00,C10230,Web,Credit Card,Completed
O500359,2024-04-25 05:00:00,C10719,WhatsApp,Credit Card,Completed
O500360,2024-07-01 01:00:00,C10074,Instagram,Debit Card,Completed
O500361,2025-06-24 12:00:00,C10269,Web,Credit Card,Completed
O500362,2024-12-12 03:00:00,C10898,Web,MercadoPago,Completed
O500363,2024-07-25 12:00:00,C10625,Web,Credit Card,Completed
O500364,2025-02-28 19:00:00,C10061,Mobile App,Debit Card,Completed
O500365,2024-01-29 20:00:00,C10873,Web,Credit Card,Completed
O500366,2024-05-11 18:00:00,C10319,Mobile App,Debit Card,Completed
O500367,2024-02-16 01:00:00,C10101,Mobile App,Credit Card,Completed
O500368,2024-05-05 08:00:00,C10428,Instagram,Cash,Completed
O500369,2024-03-31 01:00:00,C10873,Web,MercadoPago,Refunded
O500370,2024-12-13 17:00:00,C10721,marketplace,Debit Card,Completed
O500371,2025-07-25 11:00:00,C10254,Marketplace,Credit Card,Completed
O500372,2024-06-03 03:00:00,C10531,Web,Debit Card,Completed
O500373,2025-07-19 17:00:00,C10569,Web,MercadoPago,Completed
O500374,2025-06-09 02:00:00,C10111,Web,Credit Card,Completed
O500375,2024-06-06 18:00:00,C10312,Web,Debit Card,Completed
O500376,2025-01-20 16:00:00,C10460,Web,MercadoPago,Completed
O500377,2024-06-24 00:00:00,C10707,Mobile App,MercadoPago,Completed
O500378,2024-03-20 17:00:00,C10886,Web,MercadoPago,Completed
O500379,2025-01-27 00:00:00,C10461,Instagram,MercadoPago,Completed
O500380,2024-08-18 00:00:00,C10864,Web,MercadoPago ,Completed
O500381,2025-03-17 09:00:00,C10091,WhatsApp,Credit Card,Completed
O500382,2024-03-14 20:00:00,C10051,Web,Debit Card,Completed
O500383,2025-02-27 00:00:00,C10804,Marketplace,MercadoPago,Completed
O500384,2024-04-25 20:00:00,C10519,Web,Transfer,Completed
O500385,2025-06-25 12:00:00,C10811,Web,Cash,Completed
O500386,2024-11-05 07:00:00,C10097,Instagram,Credit Card,Completed
O500387,2025-06-23 02:00:00,C10235,Web,Credit Card,Completed
O500388,2024-04-29 15:00:00,C10373,Mobile App,Credit Card,Completed
O500389,2025-07-05 10:00:00,C10580,Mobile App,Credit Card,Refunded
O500390,2024-01-28 12:00:00,C10556,Mobile App,Credit Card,Completed
